,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-01-18,24.094980239868164,58.790000915527344,1030.510009765625,24.3799991607666,58.790000915527344,1030.510009765625,25.1299991607666,60.349998474121094,1070.7900390625,24.299999237060547,58.540000915527344,1016.0599975585938,24.8700008392334,60.130001068115234,1026.6099853515625,110518100,18299100,22247800
2022-01-19,22.187545776367188,56.2400016784668,995.6500244140625,22.450000762939453,56.2400016784668,995.6500244140625,24.920000076293945,59.84000015258789,1054.6700439453125,22.40999984741211,56.130001068115234,995.0,24.649999618530273,59.310001373291016,1041.7099609375,153198200,20576000,25147500
2022-01-20,21.396896362304688,54.650001525878906,996.27001953125,21.649999618530273,54.650001525878906,996.27001953125,22.8799991607666,57.33000183105469,1041.6600341796875,21.56999969482422,54.41999816894531,994.0,21.8799991607666,56.02000045776367,1009.72998046875,152014100,21554100,23496200
2022-01-21,20.408586502075195,53.279998779296875,943.9000244140625,20.649999618530273,53.279998779296875,943.9000244140625,21.5,54.70000076293945,1004.5499877929688,20.540000915527344,52.689998626708984,940.5,21.209999084472656,54.52000045776367,996.3400268554688,145532900,25692800,34472000
2022-01-24,20.151626586914062,52.63999938964844,930.0,20.389999389648438,52.63999938964844,930.0,20.469999313354492,52.65999984741211,933.510009765625,18.799999237060547,49.369998931884766,851.469970703125,19.93000030517578,51.400001525878906,904.760009765625,186674000,32931800,50521900
2022-01-25,19.74641990661621,51.900001525878906,918.4000244140625,19.979999542236328,51.900001525878906,918.4000244140625,20.309999465942383,52.5099983215332,951.260009765625,19.559999465942383,50.81999969482422,903.2100219726562,20.0,51.599998474121094,914.2000122070312,116775800,22164500,28865300
2022-01-26,19.67723846435547,52.349998474121094,937.4099731445312,19.90999984741211,52.349998474121094,937.4099731445312,21.040000915527344,53.9900016784668,987.6900024414062,19.56999969482422,51.470001220703125,906.0,21.010000228881836,53.56999969482422,952.4299926757812,135786400,23174300,34955800
2022-01-27,19.321447372436523,51.45000076293945,829.0999755859375,19.549999237060547,51.45000076293945,829.0999755859375,20.649999618530273,53.349998474121094,935.3900146484375,19.40999984741211,51.06999969482422,829.0,20.309999465942383,52.849998474121094,933.3599853515625,105674400,21357400,49036500
2022-01-28,19.41085433959961,50.2400016784668,846.3499755859375,19.540000915527344,50.2400016784668,846.3499755859375,19.549999237060547,51.25,857.5,18.920000076293945,49.2400016784668,792.010009765625,19.31999969482422,51.25,831.5599975585938,87677100,26732600,44929700
2022-01-31,20.165828704833984,52.72999954223633,936.719970703125,20.299999237060547,52.72999954223633,936.719970703125,20.329999923706055,52.75,937.989990234375,19.3700008392334,49.970001220703125,862.0499877929688,19.579999923706055,50.5,872.7100219726562,91361900,20255200,34812000
